Rank,School Name,Prior Rank,Scaled Score,Prior Scaled Score
1,Princeton University,1,100.0,100.0
2,Harvard University,3,"96.9
(1.2%)",95.8
3,Massachusetts Institute of Technology,2,"96.3
(0.7%)",97.0
4,University of Chicago,5,"93.7
(0.5%)",93.2
5,Yale University,4,"92.3
(3.2%)",95.3
6,University of Pennsylvania,7,"91.6
(0.8%)",90.9
7,Stanford University,6,"91.6
(1.1%)",92.7
8,Columbia University in the City of New York,9,"90.4
(0.3%)",90.7
9,California Institute of Technology,8,"90.1
(0.7%)",90.8
10,Duke University,12,"89.4
(0.6%)",89.9
11,Dartmouth College,13,"89.3
(0.5%)",89.8
12,Northwestern University,17,"89.3
(0.1%)",89.2
13,Brown University,18,"89.2
(0.5%)",88.8
14,Rice University,19,"88.8
(0.6%)",88.3
15,University of Notre Dame,11,"88.7
(1.5%)",90.0
16,Vanderbilt University,23,"87.6
(0.3%)",87.9
17,Cornell University,21,"87.4
(0.7%)",88.0
18,Washington University in St Louis,20,"86.8
(1.5%)",88.1
19,Washington and Lee University,27,"86.6
(0.2%)",86.4
20,Williams College,10,"86.4
(4.4%)",90.3
21,Johns Hopkins University,26,"86.2
(0.4%)",86.6
22,Bowdoin College,22,"85.7
(2.5%)",87.9
23,Swarthmore College,16,"85.7
(3.9%)",89.2
24,Pomona College,14,"85.2
(4.9%)",89.6
25,Claremont McKenna College,28,"85.1
(0.8%)",85.8
26,Carnegie Mellon University,31,"84.5
(1.1%)",85.4
27,University of Virginia-Main Campus,35,"84.4
(0.0%)",84.3
28,Georgetown University,30,"84.2
(1.7%)",85.7
29,Emory University,37,"84.1
(0.4%)",83.8
30,United States Naval Academy,39,"84.0
(0.4%)",83.7
31,Wellesley College,25,"83.8
(3.6%)",86.9
32,Franklin W Olin College of Engineering,24,"83.5
(4.8%)",87.7
33,Tufts University,32,"83.4
(2.1%)",85.2
34,Harvey Mudd College,29,"83.4
(2.8%)",85.8
35,Amherst College,15,"83.3
(6.9%)",89.4
36,Barnard College,42,"83.0
(0.5%)",83.5
37,Boston College,38,"83.0
(0.8%)",83.7
38,University of Southern California,45,"82.9
(0.3%)",83.2
39,Davidson College,43,"82.6
(1.0%)",83.4
40,Hillsdale College,33,"82.5
(3.1%)",85.1
41,Soka University of America,34,"82.2
(2.6%)",84.4
42,New York University,53,"82.2
(0.6%)",81.8
43,Babson College,40,"82.2
(1.8%)",83.7
44,Hamilton College,46,"81.6
(1.4%)",82.7
45,Colby College,41,"81.6
(2.4%)",83.5
46,Jewish Theological Seminary of America,64,"81.5
(1.5%)",80.3
47,Wesleyan University,47,"81.4
(1.4%)",82.5
48,University of Michigan-Ann Arbor,55,"81.2
(0.5%)",81.7
49,Haverford College,48,"81.1
(1.7%)",82.4
50,Villanova University,52,"81.1
(1.0%)",81.9
51,Carleton College,36,"81.0
(3.3%)",83.8
52,Colgate University,59,"80.9
(0.6%)",81.5
53,University of North Carolina at Chapel Hill,50,"80.8
(1.6%)",82.1
54,Wake Forest University,102,"80.6
(7.6%)",74.9
55,Boston University,63,"80.6
(0.1%)",80.5
56,Vassar College,61,"80.5
(1.1%)",81.4
57,Middlebury College,44,"80.3
(3.5%)",83.2
58,University of Richmond,62,"79.8
(0.9%)",80.5
59,Bates College,60,"79.7
(2.0%)",81.4
60,William & Mary,69,"79.5
(0.4%)",79.2
61,College of the Holy Cross,57,"79.3
(2.7%)",81.5
62,Smith College,49,"79.3
(3.6%)",82.3
63,Grinnell College,54,"79.3
(3.0%)",81.8
64,Tulane University of Louisiana,72,"79.3
(1.0%)",78.5
65,United States Air Force Academy,76,"78.8
(0.8%)",78.1
66,United States Coast Guard Academy,71,"78.5
(0.2%)",78.7
67,Lehigh University,66,"78.3
(1.6%)",79.5
68,The Juilliard School,68,"78.1
(1.5%)",79.3
69,Santa Clara University,58,"77.8
(4.5%)",81.5
70,University of California-Los Angeles,84,"77.8
(1.4%)",76.7
71,University of Rochester,79,"77.7
(0.2%)",77.5
72,Brandeis University,70,"77.5
(1.6%)",78.8
73,University of Florida,97,"77.3
(2.7%)",75.3
74,Macalester College,51,"77.1
(5.8%)",81.9
75,United States Military Academy,77,"77.1
(1.3%)",78.1
76,Case Western Reserve University,88,"77.0
(0.6%)",76.5
77,University of Maryland-College Park,92,"77.0
(1.5%)",75.9
78,George Washington University,80,"76.7
(1.0%)",77.5
79,Lafayette College,67,"76.6
(3.5%)",79.4
80,Colorado College,65,"76.5
(4.7%)",80.3
81,Stevens Institute of Technology,128,"76.2
(4.0%)",73.2
82,Georgia Institute of Technology-Main Campus,132,"76.1
(4.3%)",73.0
83,Bentley University,74,"76.1
(2.6%)",78.1
84,Bucknell University,78,"76.1
(2.2%)",77.8
85,The University of Texas at Austin,93,"75.9
(0.1%)",75.8
86,Scripps College,56,"75.6
(7.4%)",81.7
87,Rhode Island School of Design,73,"75.5
(3.4%)",78.2
88,Bryn Mawr College,89,"75.4
(1.0%)",76.2
89,Yeshiva University,149,"75.3
(5.6%)",71.3
90,University of Wisconsin-Madison,115,"75.2
(1.5%)",74.1
91,University of California-Berkeley,110,"75.1
(0.9%)",74.5
92,Ohio State University-Main Campus,116,"75.1
(1.4%)",74.1
93,Trinity College,96,"75.1
(0.5%)",75.4
94,Mount Holyoke College,83,"75.0
(2.7%)",77.0
95,The Cooper Union for the Advancement of Science and Art,94,"74.9
(0.9%)",75.6
96,Providence College,95,"74.9
(0.8%)",75.5
97,University of Miami,103,"74.7
(0.1%)",74.8
98,Trinity University,129,"74.6
(1.9%)",73.2
99,Southern Methodist University,108,"74.4
(0.2%)",74.6
100,Rutgers University-New Brunswick,111,"74.3
(0.2%)",74.4
101,Fairfield University,124,"74.1
(1.0%)",73.4
102,Occidental College,85,"74.0
(3.4%)",76.6
